Seed_Channel_Name,Seed_Channel_ID,Seed_Niche,Discovered_Channel_Name,Discovered_Channel_ID,Discovered_Channel_URL,Discovered_Subs,Discovered_Niche,Discovered_Keywords,Level,Timestamp,Seed_Keywords,Similarity_Score
Vox,UCLXo7UDZvByw2ixzpQCufnA,News analysis and storytelling,DW Documentary,UCW39zufHfsuGgpLviKh297Q,https://www.youtube.com/@dwdocumentary,6250000,Global documentaries and current affairs,"global conflict documentaries, environmental crisis analysis, human rights storytelling, political intrigue narratives, social justice documentaries, war impact studies, investigative documentary style, narrative storytelling approach, interview-based documentaries, cinematic documentary style",1,2025-10-27T13:31:45.820923,"internet culture analysis, civil conflict predictions, memory reconstruction insights, government policy debates, climate change strategies, digital addiction exploration, documentary storytelling, interview format discussions, narrative analysis style, investigative deep-dives",0.86
Vox,UCLXo7UDZvByw2ixzpQCufnA,News analysis and storytelling,tiffanyferg,UCY6DpwQetygtye7GM1zVHmw,https://www.youtube.com/@tiffanyferg,828000,Pop culture and internet analysis,"influencer culture analysis, internet trend commentary, generational behavior studies, digital communication critique, social media impact analysis, cultural phenomenon exploration, documentary style videos, narrative storytelling approach, analytical deep-dives, commentary format discussions",1,2025-10-27T13:34:14.399538,"internet culture analysis, civil conflict predictions, memory reconstruction insights, government policy debates, climate change strategies, digital addiction exploration, documentary storytelling, interview format discussions, narrative analysis style, investigative deep-dives",0.74
Vox,UCLXo7UDZvByw2ixzpQCufnA,News analysis and storytelling,GRAND ONE,UCWKjHnWH0BYVqr0PwmUYI-A,https://www.youtube.com/@grandonetamil,48500,Indian political news and analysis,"political policy analysis, government policy debates, election commentary analysis, international affairs insights, legislative updates discussion, public opinion analysis, documentary style analysis, interview format discussions, political storytelling, news commentary format",1,2025-10-27T13:41:59.292539,"internet culture analysis, civil conflict predictions, memory reconstruction insights, government policy debates, climate change strategies, digital addiction exploration, documentary storytelling, interview format discussions, narrative analysis style, investigative deep-dives",0.76
Vox,UCLXo7UDZvByw2ixzpQCufnA,News analysis and storytelling,AgentOfDoubt,UCzDxOqsmcTS0fwUzMEjPhyQ,https://www.youtube.com/@agentofdoubt,12300,Social issues analysis and commentary,"zionism and palestine analysis, social protest commentary, leftist perspective critique, school board election insights, anti-racism discussions, dismantling whiteness analysis, documentary style commentary, interview format discussions, narrative storytelling approach, deep-dive analysis",1,2025-10-27T13:43:41.027351,"internet culture analysis, civil conflict predictions, memory reconstruction insights, government policy debates, climate change strategies, digital addiction exploration, documentary storytelling, interview format discussions, narrative analysis style, investigative deep-dives",0.76
Johnny Harris,UCmGSJVG3mCRXVOP4yZrU1Dw,Global storytelling and analysis,The New York Times,UCqnbDFdCpuN8CMEg0VuEBqA,https://www.youtube.com/@nytimes,4870000,Independent journalism and news analysis,"hurricane impact analysis, political scandal investigations, urban design critique, health policy debates, international conflict reporting, climate change journalism, documentary-style reporting, investigative journalism format, narrative storytelling approach, visual investigation techniques",1,2025-10-27T13:45:08.117019,"global economic analysis, geopolitical storytelling, historical conflict narratives, financial influence exploration, cultural impact studies, resource-driven conflicts, documentary style storytelling, investigative journalism format, narrative-driven documentaries, visual storytelling techniques",0.76
Johnny Harris,UCmGSJVG3mCRXVOP4yZrU1Dw,Global storytelling and analysis,Think School,UCKZozRVHRYsYHGEyNKuhhdA,https://www.youtube.com/@thinkschool,4760000,Business and geopolitics education,"corporate strategy analysis, geopolitical impact studies, energy sector transformation, startup ecosystem insights, business opportunity exploration, consumer behavior analysis, documentary style storytelling, case study breakdowns, narrative storytelling, interview format discussions",1,2025-10-27T13:45:22.650871,"global economic analysis, geopolitical storytelling, historical conflict narratives, financial influence exploration, cultural impact studies, resource-driven conflicts, documentary style storytelling, investigative journalism format, narrative-driven documentaries, visual storytelling techniques",0.76
Johnny Harris,UCmGSJVG3mCRXVOP4yZrU1Dw,Global storytelling and analysis,fern,UCODHrzPMGbNv67e84WDZhQQ,https://www.youtube.com/@fern-tv,4040000,Global events and historical analysis,"corporate power struggles, historical event analysis, geopolitical conflict insights, secretive government operations, environmental impact studies, economic crisis narratives, documentary storytelling style, investigative reporting format, narrative-driven documentaries, archival footage analysis",1,2025-10-27T13:45:51.021373,"global economic analysis, geopolitical storytelling, historical conflict narratives, financial influence exploration, cultural impact studies, resource-driven conflicts, documentary style storytelling, investigative journalism format, narrative-driven documentaries, visual storytelling techniques",0.86
Johnny Harris,UCmGSJVG3mCRXVOP4yZrU1Dw,Global storytelling and analysis,James Jani,UCT0dmfFCLWuVKPWZ6wcdKyg,https://www.youtube.com/@jamesjani,2190000,Documentary-style storytelling and analysis,"corporate scandal analysis, financial fraud documentaries, cryptocurrency investigation, economic collapse stories, digital currency scams, investment scheme exposés, narrative storytelling, investigative deep-dives, cinematic documentary style, archival footage presentations",1,2025-10-27T13:46:19.439119,"global economic analysis, geopolitical storytelling, historical conflict narratives, financial influence exploration, cultural impact studies, resource-driven conflicts, documentary style storytelling, investigative journalism format, narrative-driven documentaries, visual storytelling techniques",0.76
Johnny Harris,UCmGSJVG3mCRXVOP4yZrU1Dw,Global storytelling and analysis,Geopolitical Economy Report,UCwlvSJdcMc7iGdR-aducSog,https://www.youtube.com/@geopoliticaleconomyreport,635000,Geopolitical news and analysis,"us foreign policy analysis, economic sanctions impact, geopolitical conflict analysis, international relations insights, global power dynamics, economic bubble analysis, documentary style analysis, interview format discussions, investigative deep-dives, narrative storytelling",1,2025-10-27T13:47:39.871764,"global economic analysis, geopolitical storytelling, historical conflict narratives, financial influence exploration, cultural impact studies, resource-driven conflicts, documentary style storytelling, investigative journalism format, narrative-driven documentaries, visual storytelling techniques",0.86
Johnny Harris,UCmGSJVG3mCRXVOP4yZrU1Dw,Global storytelling and analysis,Dr. Roy Casagranda,UCUGwVgtUewevtLvu7NaxVrw,https://www.youtube.com/@drroycasagranda,486000,World history and politics analysis,"ancient civilization analysis, historical political conflicts, cultural preservation efforts, empire rise and fall, ancient medical advancements, knowledge preservation history, documentary style storytelling, lecture series format, narrative historical analysis, educational deep-dives",1,2025-10-27T13:48:09.771245,"global economic analysis, geopolitical storytelling, historical conflict narratives, financial influence exploration, cultural impact studies, resource-driven conflicts, documentary style storytelling, investigative journalism format, narrative-driven documentaries, visual storytelling techniques",0.76
Johnny Harris,UCmGSJVG3mCRXVOP4yZrU1Dw,Global storytelling and analysis,Decoding Geopolitics Podcast with Dominik Presl,UCtYQaZPOCMtrijLRYFnAtEw,https://www.youtube.com/@decodinggeopoliticspodcast,103000,Geopolitical analysis and insights,"geopolitical strategy analysis, international conflict insights, foreign policy breakdown, global power dynamics, military strategy evaluation, economic influence tactics, expert interview format, in-depth discussion panels, analytical storytelling style, geopolitical documentary approach",1,2025-10-27T13:48:24.693791,"global economic analysis, geopolitical storytelling, historical conflict narratives, financial influence exploration, cultural impact studies, resource-driven conflicts, documentary style storytelling, investigative journalism format, narrative-driven documentaries, visual storytelling techniques",0.86
Johnny Harris,UCmGSJVG3mCRXVOP4yZrU1Dw,Global storytelling and analysis,Story Bucket,UCtsa-KA0L8nJcnMqWdLsB9g,https://www.youtube.com/@storybucket25,83200,Geopolitical analysis of Bangladesh,"bangladesh defense analysis, india-bangladesh relations, corruption prevention strategies, border conflict insights, economic development potential, geopolitical tension narratives, documentary style storytelling, investigative analysis format, narrative storytelling approach, interview format discussions",1,2025-10-27T13:48:39.355577,"global economic analysis, geopolitical storytelling, historical conflict narratives, financial influence exploration, cultural impact studies, resource-driven conflicts, documentary style storytelling, investigative journalism format, narrative-driven documentaries, visual storytelling techniques",0.76
Johnny Harris,UCmGSJVG3mCRXVOP4yZrU1Dw,Global storytelling and analysis,Map & Myth,UCdCIGh00efux3N5qIgObmFw,https://www.youtube.com/@mapandmyth,60100,Geopolitical storytelling and analysis,"geopolitical conflict analysis, strategic trade routes, border conflict explained, military buildup tensions, oil curse explained, defense sector insights, documentary storytelling, narrative analysis format, investigative deep-dives, historical power dynamics",1,2025-10-27T13:49:24.624532,"global economic analysis, geopolitical storytelling, historical conflict narratives, financial influence exploration, cultural impact studies, resource-driven conflicts, documentary style storytelling, investigative journalism format, narrative-driven documentaries, visual storytelling techniques",0.92
Johnny Harris,UCmGSJVG3mCRXVOP4yZrU1Dw,Global storytelling and analysis,The Global Narrative,UCWDvJT6ptY7GrwCEdzGzmwQ,https://www.youtube.com/@theglobalnarrative-v2h,48300,Global politics and current events analysis,"trade policy analysis, geopolitical strategy insights, economic impact assessment, international trade dynamics, global supply chain issues, tariff war consequences, documentary style analysis, interview format discussions, investigative storytelling, in-depth commentary",1,2025-10-27T13:49:54.628146,"global economic analysis, geopolitical storytelling, historical conflict narratives, financial influence exploration, cultural impact studies, resource-driven conflicts, documentary style storytelling, investigative journalism format, narrative-driven documentaries, visual storytelling techniques",0.86
Johnny Harris,UCmGSJVG3mCRXVOP4yZrU1Dw,Global storytelling and analysis,Past Uncovered,UC3Rr9YlTfQJcp_-Qf2uGGQQ,https://www.youtube.com/@pastuncoveredhere,32900,Historical documentaries and storytelling,"byzantine empire history, samurai empire documentary, french revolution storytelling, maya civilization exploration, dutch empire chronicles, roman britain history, historical documentary style, narrative storytelling format, full-length history films, educational history series",1,2025-10-27T13:50:09.941862,"global economic analysis, geopolitical storytelling, historical conflict narratives, financial influence exploration, cultural impact studies, resource-driven conflicts, documentary style storytelling, investigative journalism format, narrative-driven documentaries, visual storytelling techniques",0.76
Johnny Harris,UCmGSJVG3mCRXVOP4yZrU1Dw,Global storytelling and analysis,Boss Economics World,UCtwwnAiODpBkLFaYKHoYkBQ,https://www.youtube.com/@bosshankslord,31300,Global economic insights and analysis,"interest rate analysis, global financial trends, economic policy impacts, debt crisis exploration, inflation and recession, investment strategy insights, documentary style analysis, interview format discussions, investigative deep-dives, narrative storytelling",1,2025-10-27T13:50:24.529047,"global economic analysis, geopolitical storytelling, historical conflict narratives, financial influence exploration, cultural impact studies, resource-driven conflicts, documentary style storytelling, investigative journalism format, narrative-driven documentaries, visual storytelling techniques",0.74
Johnny Harris,UCmGSJVG3mCRXVOP4yZrU1Dw,Global storytelling and analysis,SAMA 6TVNEWS,UCg2-wFRVaa2Bcdq7P-QnUGQ,https://www.youtube.com/@sama6tvnews549,21300,Local and global news coverage,"local political analysis, global news updates, regional policy discussions, international affairs coverage, socio-political events, economic impact reports, documentary style reporting, press conference highlights, interview format discussions, investigative journalism approach",1,2025-10-27T13:51:22.179186,"global economic analysis, geopolitical storytelling, historical conflict narratives, financial influence exploration, cultural impact studies, resource-driven conflicts, documentary style storytelling, investigative journalism format, narrative-driven documentaries, visual storytelling techniques",0.76
Johnny Harris,UCmGSJVG3mCRXVOP4yZrU1Dw,Global storytelling and analysis,Narratives,UCF58AzQw83B6_2G__XkROpg,https://www.youtube.com/@narrativestv,17500,Journalistic analysis of global issues,"political power dynamics, regional conflict analysis, agricultural policy debates, cultural identity exploration, religious and moral shifts, leadership style comparisons, documentary storytelling, interview format discussions, investigative deep-dives, narrative storytelling",1,2025-10-27T13:51:51.670154,"global economic analysis, geopolitical storytelling, historical conflict narratives, financial influence exploration, cultural impact studies, resource-driven conflicts, documentary style storytelling, investigative journalism format, narrative-driven documentaries, visual storytelling techniques",0.86
Moon,UCmFeOdJI3IXgTBDzqBLD8qg,Global events analysis and commentary,Ben Shapiro,UCnQC_G5Xsjhp9fEJKuIcrSw,https://www.youtube.com/@benshapiro,7220000,Conservative political commentary and analysis,"political debate analysis, conservative policy critique, social safety net discussion, media bias commentary, political reaction videos, conservative ideology exploration, interview format discussions, debate-style presentations, reaction video format, news analysis segments",1,2025-10-27T13:53:35.297536,"global event analysis, corporate scandal commentary, societal impact discussions, geopolitical analysis insights, media bias exploration, cultural critique narratives, documentary style presentations, investigative storytelling, interview format analysis, narrative commentary style",0.76
Moon,UCmFeOdJI3IXgTBDzqBLD8qg,Global events analysis and commentary,Zeihan on Geopolitics,UCsy9I56PY3IngCf_VGjunMQ,https://www.youtube.com/@zeihanongeopolitics,901000,Geopolitical analysis and insights,"geopolitical conflict analysis, military intervention insights, international relations dynamics, global power shifts, nuclear policy discussions, economic sanctions impact, expert panel discussions, documentary-style presentations, geopolitical storytelling, in-depth interviews",1,2025-10-27T13:56:26.712239,"global event analysis, corporate scandal commentary, societal impact discussions, geopolitical analysis insights, media bias exploration, cultural critique narratives, documentary style presentations, investigative storytelling, interview format analysis, narrative commentary style",0.86
Moon,UCmFeOdJI3IXgTBDzqBLD8qg,Global events analysis and commentary,World Affairs Insights,UCQKsY5JL3s0POKwq8Y0nR9A,https://www.youtube.com/@worldaffairsinsights,508000,Indian geopolitics and current events analysis,"india foreign policy, south asia strategy, indian security analysis, geopolitical updates, india-pakistan relations, naxalism in india, documentary style analysis, interview format discussions, narrative storytelling, deep-dive analysis",1,2025-10-27T13:57:08.286340,"global event analysis, corporate scandal commentary, societal impact discussions, geopolitical analysis insights, media bias exploration, cultural critique narratives, documentary style presentations, investigative storytelling, interview format analysis, narrative commentary style",0.76
Moon,UCmFeOdJI3IXgTBDzqBLD8qg,Global events analysis and commentary,War & Geopolitics Insights,UChTYUFo4pWhDiSwn9NQJwHQ,https://www.youtube.com/@wargeopoliticsinsights,94600,Global conflicts and geopolitical analysis,"cybersecurity threat analysis, military strategy insights, geopolitical tension breakdown, international conflict analysis, global power dynamics, regional security challenges, documentary-style storytelling, expert panel discussions, in-depth geopolitical analysis, narrative-driven explorations",1,2025-10-27T14:00:58.681835,"global event analysis, corporate scandal commentary, societal impact discussions, geopolitical analysis insights, media bias exploration, cultural critique narratives, documentary style presentations, investigative storytelling, interview format analysis, narrative commentary style",0.86
Moon,UCmFeOdJI3IXgTBDzqBLD8qg,Global events analysis and commentary,Investigative Reporting Lab,UC2eqprx_bNy3SmR62rLxqhg,https://www.youtube.com/@irlmacedonia,19700,Investigative journalism and storytelling,"corporate corruption exposé, environmental disaster investigations, political scandal analysis, urban development controversies, financial fraud stories, public safety failures, documentary storytelling approach, in-depth interview format, narrative podcast series, investigative documentary style",1,2025-10-27T14:04:20.669682,"global event analysis, corporate scandal commentary, societal impact discussions, geopolitical analysis insights, media bias exploration, cultural critique narratives, documentary style presentations, investigative storytelling, interview format analysis, narrative commentary style",0.82
