Seed_Channel_Name,Seed_Niche,Discovered_Channel_Name,Discovered_Niche,Discovered_Subs,Similarity_Score,Is_Competitor,Reason
Johnny Harris,Global storytelling and analysis,Kendall Rae,True-crime storytelling and victim advocacy,3970000,0.762,No,"Seed focuses on global analysis, Candidate on true crime, differing core topics."
Johnny Harris,Global storytelling and analysis,James Jani,Documentary-style storytelling and analysis,2190000,0.76,Yes,"Both channels focus on documentary-style storytelling and analysis, serving similar audience needs."
Johnny Harris,Global storytelling and analysis,Past Uncovered,Historical documentaries and storytelling,32900,0.76,Yes,Both channels focus on storytelling and analysis with a historical and global perspective.
Johnny Harris,Global storytelling and analysis,3T TV MEDIA,News storytelling and analysis,14600,0.758,Yes,Both channels focus on news storytelling and analysis with similar audience intent.
Johnny Harris,Global storytelling and analysis,Documentary Diaries,True crime documentaries and analysis,30000,0.758,No,"Seed focuses on global storytelling; candidate focuses on true crime, different core topics."
Johnny Harris,Global storytelling and analysis,Rohan Travel Stories,Wildlife travel documentaries and stories,1940000,0.752,No,"Seed focuses on global analysis, Candidate on wildlife documentaries, differing core topics."
Johnny Harris,Global storytelling and analysis,Boss Economics World,Global economic insights and analysis,31300,0.74,Yes,Both channels focus on global analysis with storytelling and educational intent.
Moon,Global events analysis and commentary,Brooklyn Savvy Talk Show | Shifting Narratives ,Social change and cultural analysis,38500,0.879,No,"Seed focuses on global events, Candidate on social change; different core topics."
Moon,Global events analysis and commentary,War & Geopolitics Insights,Global conflicts and geopolitical analysis,94600,0.86,Yes,Both channels analyze global events and conflicts with a news analysis intent.
Moon,Global events analysis and commentary,Zeihan on Geopolitics,Geopolitical analysis and insights,901000,0.86,Yes,Both channels focus on geopolitical analysis with a news analysis intent.
Moon,Global events analysis and commentary,BE THEE COMMENTATOR,Fame and scandal storytelling analysis,115000,0.85,No,"Seed analyzes global events; candidate focuses on fame/scandal storytelling, differing niches."
Moon,Global events analysis and commentary,Social Impact,Social change and awareness storytelling,19200,0.83,No,"Seed focuses on global events analysis, Candidate on social change storytelling. Different intents."
Moon,Global events analysis and commentary,Investigative Reporting Lab,Investigative journalism and storytelling,19700,0.82,No,"Seed focuses on global events analysis, Candidate on investigative journalism, differing core topics."
Moon,Global events analysis and commentary,Ben Shapiro,Conservative political commentary and analysis,7220000,0.8,No,"Seed covers global events; candidate focuses on conservative politics, differing core topics."
Moon,Global events analysis and commentary,Hannah Alonzo,Commentary on MLMs and social media culture,813000,0.783,No,"Seed focuses on global events, Candidate on MLMs/social media, different core topics."
Moon,Global events analysis and commentary,Clarity for UPSC by Dr.Shivin,UPSC exam preparation and insights,472000,0.783,No,"Seed is global events analysis, Candidate is UPSC prep, serving different audience needs."
Moon,Global events analysis and commentary,Quality Culture,Pop culture storytelling and analysis,269000,0.77,No,"Seed focuses on global events, Candidate on pop culture, differing core topics and intent."
Moon,Global events analysis and commentary,A SECRET LIFE DIARY•KOKBOROK 666k View• 6h•,Storytelling and cultural insights in Kokborok,331000,0.765,No,"Seed focuses on global events, Candidate on cultural storytelling, serving different audience needs."
Moon,Global events analysis and commentary,World Affairs Insights,Indian geopolitics and current events analysis,508000,0.76,No,"Seed covers global events; candidate focuses on Indian geopolitics, differing in scope."
Vox,News analysis and storytelling,Channel 4 Documentaries,True crime and investigative documentaries,978000,0.888,No,"Seed focuses on news analysis, Candidate on true crime, differing core topics."
Vox,News analysis and storytelling,DW Documentary,Global documentaries and current affairs,6250000,0.86,Yes,Both channels focus on global current affairs with a storytelling and analysis intent.
Vox,News analysis and storytelling,Jubilee,Social issues and political debates analysis,10500000,0.853,No,"Seed focuses on news storytelling, Candidate on social debates, differing audience needs."
Vox,News analysis and storytelling,Culture Crack,Media and culture storytelling/analysis,13300,0.847,Yes,Both channels focus on storytelling and analysis of media and culture topics.
Vox,News analysis and storytelling,Gravitas Documentaries,Documentaries on diverse global topics,211000,0.839,No,"Seed focuses on news analysis, candidate on diverse documentaries, differing core topics."
Vox,News analysis and storytelling,AgentOfDoubt,Social issues analysis and commentary,12300,0.838,No,"Seed focuses on news storytelling, Candidate on social commentary, differing audience needs."
Vox,News analysis and storytelling,GRAND ONE,Indian political news and analysis,48500,0.829,No,"Seed focuses on storytelling, Candidate on Indian political news, differing in niche and intent."
Vox,News analysis and storytelling,Technically Creative by KoobrikLabs,AI-driven storytelling and content creation analysis,130000,0.826,No,"Seed focuses on news analysis, Candidate on AI-driven content creation, differing intents."
Vox,News analysis and storytelling,Archaix ,Ancient mysteries and simulation analysis,179000,0.822,No,"Seed focuses on news analysis, Candidate on ancient mysteries, differing core topics."
Vox,News analysis and storytelling,Our Changing Climate,Eco-socialism analysis and advocacy,541000,0.819,No,"Seed focuses on news storytelling, Candidate on eco-socialism advocacy, differing intents."
Vox,News analysis and storytelling,Lessons in Internet Culture,Educational analysis of internet trends,152000,0.818,No,"Seed is news storytelling, Candidate is educational on internet trends, different intents."
Vox,News analysis and storytelling,Deep Dive True Crime,True crime case investigations and analysis,166000,0.813,No,"Seed focuses on news analysis, Candidate on true crime, different core topics."
Vox,News analysis and storytelling,Wartime Stories,War and military storytelling and analysis,774000,0.808,No,"Seed focuses on news analysis, Candidate on military storytelling, differing core topics."
Vox,News analysis and storytelling,Collider Interviews,Entertainment industry news and analysis,112000,0.803,No,"Seed focuses on news analysis, Candidate on entertainment industry, differing core topics."
Vox,News analysis and storytelling,Channeled Predictions,Psychic predictions and prophecy analysis,12800,0.797,No,"Seed focuses on news analysis, Candidate on psychic predictions, differing core topics and intent."
Vox,News analysis and storytelling,HISTORY,Historical documentaries and storytelling,15000000,0.794,No,"Seed focuses on news analysis, Candidate on historical documentaries; different core topics."
Vox,News analysis and storytelling,Campfire Stories,Ecological storytelling and lifestyle analysis,99300,0.793,No,"Seed focuses on news analysis, Candidate on ecological lifestyle, differing core topics."
Vox,News analysis and storytelling,Feldup,Internet mysteries and analysis,1780000,0.789,No,"Seed focuses on news storytelling, Candidate on internet mysteries, differing core topics."
Vox,News analysis and storytelling,tiffanyferg,Pop culture and internet analysis,828000,0.783,No,"Seed focuses on news storytelling, Candidate on pop culture analysis, differing core topics."
Vox,News analysis and storytelling,Joseph Tittel,Spiritual predictions and analysis,54100,0.78,No,"Seed focuses on news analysis, Candidate on spiritual predictions, serving different needs."
Vox,News analysis and storytelling,True Story Documentary Channel,True stories and documentaries,350000,0.778,No,"Seed focuses on news analysis, Candidate on true stories, differing core topics."
Vox,News analysis and storytelling,Eugene DingleBerry,Entertaining storytelling and social experiments,1180000,0.762,No,"Seed focuses on news analysis, Candidate on entertainment/social experiments, differing intents."
Vox,News analysis and storytelling,Micro Docs,Real-life storytelling documentaries,390000,0.762,Yes,Both channels focus on storytelling documentaries with similar intent and audience needs.
Vox,News analysis and storytelling,Galatta Plus,Indian cinema interviews and analysis,496000,0.757,No,"Seed focuses on news analysis, Candidate on Indian cinema, different niches and intents."
Vox,News analysis and storytelling,Predictive History,Historical analysis and future predictions,806000,0.756,No,"Seed focuses on news storytelling, Candidate on historical analysis, serving different intents."
Vox,News analysis and storytelling,interviewing.io,Technical interview preparation and mentorship,93600,0.75,No,"Seed is news storytelling, Candidate is technical interview prep, serving different needs."
