Seed_Channel_Name,Seed_Channel_ID,Discovered_Channel_Name,Discovered_Channel_ID,Discovered_Channel_URL,Discovered_Subs,Discovered_Keywords,Level,Timestamp,Seed_Keywords,Similarity_Score
TechnicalGuruji,UCOhHO2ICt0ti9KAh-QHvttQ,Gyan Therapy,UCS261lQDXjMvc8Jck-2CQEg,https://www.youtube.com/@gyantherapy,3960000,"consumer issues, smartphone reviews, gadget unboxing, tech comparisons, online shopping, camera phone analysis, hybrid devices, financing traps, operating system updates, tablet evaluations",1,2025-10-25T21:33:05.808434,"unboxing experience, first look, smartphone features, tech updates, gadget analysis, ai technology, tablet review, smart glasses, consumer electronics, product comparisons",0.8
TechnicalGuruji,UCOhHO2ICt0ti9KAh-QHvttQ,Beebom,UCvpfclapgcuJo0M_x65pfRw,https://www.youtube.com/@beebomco,3470000,"gadget review, smartphone comparison, android update, kitchen gadgets, gaming hardware, tech analysis, product leaks, feature comparison, consumer electronics, device testing",1,2025-10-25T21:33:23.026041,"unboxing experience, first look, smartphone features, tech updates, gadget analysis, ai technology, tablet review, smart glasses, consumer electronics, product comparisons",0.8
TechnicalGuruji,UCOhHO2ICt0ti9KAh-QHvttQ,Trakin Shorts,UCkm0j0CQdElEFtWw7agfOlA,https://www.youtube.com/@trakinshorts,2800000,"smartphone features, upcoming flagships, tech comparisons, tablet reviews, software previews, gadget deals, processor analysis, smartphone os, 5g smartphones, android vs iphone",1,2025-10-25T21:33:33.880084,"unboxing experience, first look, smartphone features, tech updates, gadget analysis, ai technology, tablet review, smart glasses, consumer electronics, product comparisons",0.8
TechnicalGuruji,UCOhHO2ICt0ti9KAh-QHvttQ,TechWiser,UCdp6GUwjKscp5ST4M4WgIpw,https://www.youtube.com/@techwiser,2440000,"smartphone analysis, budget smartphones, software updates, online shopping laws, tech comparisons, gadget deals, tablet reviews, ai browsing, smartphone leaks, consumer electronics",1,2025-10-25T21:33:43.710492,"unboxing experience, first look, smartphone features, tech updates, gadget analysis, ai technology, tablet review, smart glasses, consumer electronics, product comparisons",0.8
TechnicalGuruji,UCOhHO2ICt0ti9KAh-QHvttQ,CallMeShazzam TECH,UC9MQp8a5uhaIosZPHaoqEXQ,https://www.youtube.com/@callmeshazzamtech,2370000,"smartphone impressions, tech reviews, photography analysis, gadget comparisons, device testing, mini reviews, exclusive hands-on, product highlights, first impressions, tech commentary",1,2025-10-25T21:33:54.148947,"unboxing experience, first look, smartphone features, tech updates, gadget analysis, ai technology, tablet review, smart glasses, consumer electronics, product comparisons",0.8
TechnicalGuruji,UCOhHO2ICt0ti9KAh-QHvttQ,Gupta Information Systems,UCqOLFDSLrYKJUuSS0tQqvcw,https://www.youtube.com/@guptainformationsystem,1810000,"smartphone review, durability test, product comparison, gaming performance, accessory evaluation, battery test, feature analysis, real world usage, challenge video, tech insights",1,2025-10-25T21:34:15.658833,"unboxing experience, first look, smartphone features, tech updates, gadget analysis, ai technology, tablet review, smart glasses, consumer electronics, product comparisons",0.7
TechnicalGuruji,UCOhHO2ICt0ti9KAh-QHvttQ,Tech Plus Gadgets,UC1oJWYYvOoFKxF5npN-OU3A,https://www.youtube.com/@techplusgadgetsyt,1150000,"smartphone comparison, gadget safety, tech tips, product recommendations, tech alerts, consumer electronics, festive promotions, ai tools, vehicle security, unboxing experience",1,2025-10-25T21:36:01.669590,"unboxing experience, first look, smartphone features, tech updates, gadget analysis, ai technology, tablet review, smart glasses, consumer electronics, product comparisons",0.8
TechnicalGuruji,UCOhHO2ICt0ti9KAh-QHvttQ,Parker Burton,UCEeH57P89hPQ1Sp2TavfICA,https://www.youtube.com/@imparkerburton,1130000,"tech unboxing, smartphone review, ai glasses, gadget comparison, handheld gaming, mobile technology, product showcase, first look, device testing, consumer electronics",1,2025-10-25T21:36:12.189902,"unboxing experience, first look, smartphone features, tech updates, gadget analysis, ai technology, tablet review, smart glasses, consumer electronics, product comparisons",0.8
TechnicalGuruji,UCOhHO2ICt0ti9KAh-QHvttQ,TECHOOB,UC42qyCQM39vQ6bt_6iz-Z8A,https://www.youtube.com/@techoob,946000,"smartphone battle, gadget testing, product comparison, unboxing experience, clone smartphone, budget technology, festive decorations, home automation, tech survival test, consumer electronics",1,2025-10-25T21:37:02.264338,"unboxing experience, first look, smartphone features, tech updates, gadget analysis, ai technology, tablet review, smart glasses, consumer electronics, product comparisons",0.8
TechnicalGuruji,UCOhHO2ICt0ti9KAh-QHvttQ,Trakin Tech English,UCn7DATpF0Nk-YJmjw4gMwfg,https://www.youtube.com/@trakintechenglish,799000,"smartphone comparison, camera test, tablet review, android skin comparison, tech analysis, gadget overview, performance evaluation, software update, budget smartphone, first look",1,2025-10-25T21:37:22.641258,"unboxing experience, first look, smartphone features, tech updates, gadget analysis, ai technology, tablet review, smart glasses, consumer electronics, product comparisons",0.8
TechnicalGuruji,UCOhHO2ICt0ti9KAh-QHvttQ,Sillycorns,UCKk9JCBLDy6bOp5cUAQYrUQ,https://www.youtube.com/@sillycornsmedia,596000,"gadget showcase, tech review, product features, electronic devices, viral gadgets, home tech, portable instruments, software updates, audio products, smart appliances",1,2025-10-25T21:37:53.258093,"unboxing experience, first look, smartphone features, tech updates, gadget analysis, ai technology, tablet review, smart glasses, consumer electronics, product comparisons",0.7
TechnicalGuruji,UCOhHO2ICt0ti9KAh-QHvttQ,mobiscrub,UCGfluwZUeQNG5HvHuKfSKgw,https://www.youtube.com/@mobiscrub,593000,"smartphone comparison, battery health, charging tips, headphone features, app recommendations, tech analysis, device performance, flagship showdown, software updates, wireless technology",1,2025-10-25T21:38:03.900396,"unboxing experience, first look, smartphone features, tech updates, gadget analysis, ai technology, tablet review, smart glasses, consumer electronics, product comparisons",0.7
TechnicalGuruji,UCOhHO2ICt0ti9KAh-QHvttQ,rillo,UCyw_mtuNzMhpNFBY8huBxIw,https://www.youtube.com/@rillotv,258000,"tech analysis, gadget comparison, device reviews, 3d printing, smart technology, gaming hardware, budget tech, innovative devices, behind-the-scenes, future technology",1,2025-10-25T21:39:48.868911,"unboxing experience, first look, smartphone features, tech updates, gadget analysis, ai technology, tablet review, smart glasses, consumer electronics, product comparisons",0.7
TechnicalGuruji,UCOhHO2ICt0ti9KAh-QHvttQ,FishBee Productions,UC0ZzC0WV8hY9GGo_AVfoofQ,https://www.youtube.com/@fishbeeproductions,172000,"tablet comparison, mobile gaming, tech unboxing, gadget reviews, hidden features, accessory recommendations, arcade gaming, mini pc, projector reviews, gaming controllers",1,2025-10-25T21:40:43.550844,"unboxing experience, first look, smartphone features, tech updates, gadget analysis, ai technology, tablet review, smart glasses, consumer electronics, product comparisons",0.7
TechnicalGuruji,UCOhHO2ICt0ti9KAh-QHvttQ,SuperSaf Shorts,UCPl1Gu8jmccFPt-vbvqgLTg,https://www.youtube.com/@supersafshorts,121000,"asmr unboxing, smartphone comparison, gadget testing, tech unboxing, product showcase, consumer electronics, hands-on review, accessory review, tech analysis, device launch",1,2025-10-25T21:42:37.830231,"unboxing experience, first look, smartphone features, tech updates, gadget analysis, ai technology, tablet review, smart glasses, consumer electronics, product comparisons",0.8
TechnicalGuruji,UCOhHO2ICt0ti9KAh-QHvttQ,Techade,UCuiqufw8v68JjCHrh07-pHA,https://www.youtube.com/@itstechade,41300,"smartphone innovation, flagship comparison, budget smartphone, smartphone controversy, tech deals, gadget analysis, product features, consumer electronics, mobile technology, tech trends",1,2025-10-25T21:45:15.731570,"unboxing experience, first look, smartphone features, tech updates, gadget analysis, ai technology, tablet review, smart glasses, consumer electronics, product comparisons",0.8
TechnicalGuruji,UCOhHO2ICt0ti9KAh-QHvttQ,TechAvid,UCpVID-xoGkY2UriWnAa1ArQ,https://www.youtube.com/@techavid,38700,"product leaks, tech analysis, camera upgrades, smart devices, gadget features, performance tracking, design reviews, smartphone innovations, action cameras, gimbal technology",1,2025-10-25T21:46:03.967789,"unboxing experience, first look, smartphone features, tech updates, gadget analysis, ai technology, tablet review, smart glasses, consumer electronics, product comparisons",0.7
TechnicalGuruji,UCOhHO2ICt0ti9KAh-QHvttQ,Yash Sethi,UCcxoh-xtrddH5zkJrqzyDvA,https://www.youtube.com/@yashsethishorts,34200,"product showcase, gadget review, lifestyle tips, tech testing, unique gifts, home appliances, consumer electronics, battery performance, futuristic concepts, powerful devices",1,2025-10-25T21:46:13.894818,"unboxing experience, first look, smartphone features, tech updates, gadget analysis, ai technology, tablet review, smart glasses, consumer electronics, product comparisons",0.7
TechnicalGuruji,UCOhHO2ICt0ti9KAh-QHvttQ,Rubi mObiles Tech Updates,UCgK58CDP0CNz6_N43taoLdQ,https://www.youtube.com/@rubimobilestechupdates8662,28000,"smartphone deals, flagship devices, official pta approved, tech promotions, mobile specifications, premium smartphones, gadget offers, device comparisons, tech updates, smartphone features",1,2025-10-25T21:46:45.637497,"unboxing experience, first look, smartphone features, tech updates, gadget analysis, ai technology, tablet review, smart glasses, consumer electronics, product comparisons",0.7
TechnicalGuruji,UCOhHO2ICt0ti9KAh-QHvttQ,TECH B 1M,UC5IfDNT8ARrStua0NL1rQMQ,https://www.youtube.com/@techb1m,23300,"smartphone unboxing, camera comparison, performance test, slow motion analysis, gadget review, device overview, camera quality assessment, first look, stability test, portrait comparison",1,2025-10-25T21:47:07.143081,"unboxing experience, first look, smartphone features, tech updates, gadget analysis, ai technology, tablet review, smart glasses, consumer electronics, product comparisons",0.8
TechnicalGuruji,UCOhHO2ICt0ti9KAh-QHvttQ,smart tek mobile,UCC-fok0xoPcZqSqYnZtqqHg,https://www.youtube.com/@mohammeduddin479,23000,"smartphone comparison, camera test, unboxing experience, mobile photography, device features, foldable display, tech analysis, smartphone specifications, performance review, gadget showcase",1,2025-10-25T21:47:28.646982,"unboxing experience, first look, smartphone features, tech updates, gadget analysis, ai technology, tablet review, smart glasses, consumer electronics, product comparisons",0.8
