Tier,Reason,Seed_Channel_Name,Discovered_Channel_Name,Discovered_Subs,Score_Emb_Combined_AvgVec,Score_Emb_Hybrid_Titles,Discovered_Channel_URL
3,"Format does not match: The titles suggest a focus on reactive political commentary and news analysis rather than documentary-style video essays. Topic match: 1. The titles primarily cover political commentary, which aligns with the seed's pillar of 'Political & Economic Commentary', but do not address the other pillars such as societal issues, science, or cultural trends.",Vox,The Rest Is Politics US,242000,0.57779187,0.513,https://www.youtube.com/@restpoliticsus
3,"Format does not match: The titles suggest a focus on sensational and disturbing content rather than analytical video essays or documentaries. The topics primarily revolve around internet culture, crime, and entertainment, which do not align with the seed's pillars of societal issues, political/economic commentary, science/technology, or cultural trends in a meaningful way.",Vox,Visual Venture,1360000,0.48695958,0.438,https://www.youtube.com/@visualventure
3,"Format does not match: The titles suggest a focus on specific controversies and personalities, indicative of commentary or critique rather than in-depth documentary-style analysis. Topic match: 0. The topics primarily revolve around internet culture, gaming, and controversies, which do not align with the seed's pillars of societal issues, political/economic commentary, science/technology, or cultural trends.",Vox,RoyaltyIsHere,226000,0.48946536,0.386,https://www.youtube.com/@royaltyishere
3,"Format does not match: The titles suggest a focus on meme culture and viral internet phenomena, which are more aligned with news or commentary rather than documentary-style analysis. Topic match: 0. The topics primarily revolve around memes and internet trends, which do not align with the seed's pillars of societal issues, political/economic commentary, science/technology, or cultural trends in a meaningful way.",Vox,Know Your Meme,493000,0.49013388,0.405,https://www.youtube.com/@knowyourmeme
3,"Format does not match: The titles suggest a focus on trends and commentary rather than in-depth documentary-style analysis. The content appears to be more reactive and opinion-based rather than analytical. Topic match: 0. The topics primarily revolve around social media trends and influencer culture, which do not align with the seed's pillars of societal issues, political/economic commentary, science/technology, or cultural trends in a meaningful way.",Vox,State of Kait,98800,0.49257234,0.504,https://www.youtube.com/@stateofkait
3,"Format does not match: The titles suggest a focus on personal development and mental health rather than documentary-style analysis. The content is more self-help and lifestyle oriented, which does not align with the analytical and explanatory journalism style of Vox. Topic match: 0. The topics primarily revolve around mental health and personal well-being, which do not align with the seed's pillars of societal issues, political/economic commentary, science/technology, or cultural trends.",Vox,MindScope,13800,0.47998524,0.466,https://www.youtube.com/@mindscopechannel
3,"Format does not match: The titles suggest a focus on sensationalized historical events and true crime, which are more aligned with entertainment rather than analytical documentaries. Topic match: 0. The topics primarily revolve around crime, mysteries, and historical anecdotes, which do not align with the seed's pillars of societal issues, political/economic commentary, science/technology, or cultural trends.",Vox,The Paint Explainer,1590000,0.4863208,0.427,https://www.youtube.com/@thepaintexplainer
3,"Format does not match: The titles suggest a focus on news clips and reactive commentary rather than documentary-style videos. Topic match: 0. The topics primarily revolve around pro-life activism and abortion debates, which do not align with the seed's pillars of societal issues, political commentary, science, and cultural trends.",Vox,Students for Life of America,360000,0.4815816,0.384,https://www.youtube.com/@studentsforlife
3,"Format does not match: The titles suggest a focus on personal commentary and reactionary content rather than documentary-style analysis. Topic match: 0. The topics primarily revolve around religious commentary and personal experiences, which do not align with the seed's pillars of societal issues, political/economic commentary, science/technology, or cultural trends.",Vox,Mike Winger,926000,0.48496285,0.363,https://www.youtube.com/@mikewinger
3,"Format does not match: The titles suggest a focus on medical commentary and personal anecdotes rather than documentary-style analysis. Topic match: 0. The topics primarily revolve around health, medicine, and personal experiences, which do not align with the seed's pillars of societal issues, political commentary, science and technology explained, or cultural trends.",Vox,Strong Medicine,778000,0.47270286,0.446,https://www.youtube.com/@strongmed
3,"Format does not match: The titles suggest a focus on short news segments and educational clips aimed at children, rather than in-depth documentary-style videos. Topic match: 1. The candidate covers 'Societal Issues & Current Events Analysis' with titles like 'Interviews with Palestinian children in Gaza City' and 'Kids want politicians to tackle these issues', but does not cover 2 or more of the seed's pillars.",Vox,CBC Kids News,256000,0.4766272,0.412,https://www.youtube.com/@cbckidsnews
3,"Format does not match: The titles ('Press Briefing', 'Governor Talks', 'Debate on the Global Economy') suggest a focus on briefings and discussions rather than documentary-style explorations. Topic match: 1. The candidate covers 'Political & Economic Commentary', but does not address the other seed pillars such as 'Societal Issues', 'Science & Technology', or 'Cultural Trends'.",Vox,IMF,199000,0.4786545,0.475,https://www.youtube.com/@imf
3,"Format does not match: The titles suggest a focus on academic lectures and podcasts rather than documentary-style video essays. Topic match: 0. The topics primarily revolve around historical events and job searching, which do not align with the seed's pillars of societal issues, political commentary, science, and cultural analysis.",Vox,YaleCourses,1630000,0.47264752,0.424,https://www.youtube.com/@yalecourses
3,"Format does not match: The titles suggest a focus on internet mysteries and cults, which are more aligned with entertainment and horror rather than documentary-style analysis. Topic match: 0. The topics covered do not align with the seed's pillars of societal issues, political commentary, science, or cultural trends.",Vox,threadbare,13400,0.47195384,0.381,https://www.youtube.com/@threadbarevids
3,"Format does not match: The titles suggest a mix of commentary and personal vlogs rather than analytical video essays or documentaries. Topic match: 0. The topics primarily focus on social media trends, personal experiences, and pop culture, which do not align with the seed's pillars of societal issues, political/economic commentary, science/technology, or cultural trends.",Vox,Blair (Whatitis),15300,0.5044361,0.346,https://www.youtube.com/@whatitis
3,"Format does not match: The titles ('Food Horror', 'Humanity's Greatest Sin', 'The Most Hated Sculptor You Probably Recognize') suggest a focus on commentary and cultural critique rather than documentary-style analysis. Topic match: 0. The topics primarily revolve around art, culture, and personal commentary, which do not align with the seed's pillars of societal issues, political/economic commentary, science/technology, or cultural trends in a meaningful way.",Vox,Solar Sands,1430000,0.5110364,0.467,https://www.youtube.com/@solarsands
3,"Format does not match: The titles suggest a focus on specific political and economic commentary rather than documentary-style analysis. The content appears to be more reactive and opinion-based rather than in-depth explorations typical of documentaries. Topic match: 1. The titles cover 'Political & Economic Commentary', but do not address the other seed pillars such as 'Societal Issues & Current Events Analysis', 'Science & Technology Explained', or 'Cultural Trends & Analysis'.",Vox,Washington Policy Center,20500,0.50665593,0.477,https://www.youtube.com/@washingtonpolicycenter
3,"Format does not match: The titles suggest a focus on personal branding, entrepreneurship, and business strategies, which are more aligned with motivational and instructional content rather than documentary-style analysis. Topic match: 0. The topics do not align with the seed's pillars of societal issues, political/economic commentary, science/technology, or cultural trends.",Vox,Jasmine Star,80500,0.46871847,0.379,https://www.youtube.com/@officialjasminestar
3,"Format does not match: The titles suggest a mix of podcasts and news segments rather than documentary-style videos. While some topics like 'Political & Economic Commentary' and 'Societal Issues & Current Events Analysis' are covered, the overall format is more aligned with news and clips rather than in-depth documentaries or video essays.",Vox,BBC World Service,1640000,0.46995887,0.352,https://www.youtube.com/@bbcworldservice
3,"Format does not match: The titles suggest a focus on psychological insights and personal development rather than documentary-style analysis. Topic match: 0. The topics primarily revolve around psychology and self-help, which do not align with the seed's pillars of societal issues, political commentary, science, and cultural trends.",Vox,Queen,149000,0.4722563,0.365,https://www.youtube.com/@queen3369
3,"Format does not match: The titles suggest a focus on spiritual and religious themes rather than documentary-style analysis. The content appears to be more opinion-based and esoteric rather than analytical or explanatory journalism. Topic match: 0. The topics primarily revolve around spirituality, occult doctrines, and personal beliefs, which do not align with the seed's pillars of societal issues, political/economic commentary, science/technology, or cultural trends.",Vox,The Deep End w/Taylor Welch,491000,0.46164545,0.377,https://www.youtube.com/@taylorawelch
3,"Format does not match: The titles suggest a focus on technology and skills, which are more aligned with news and updates rather than documentary-style analysis. Topic match: 0. The topics primarily revolve around technology and AI, which do not align with the seed's pillars of societal issues, political commentary, or cultural trends.",Vox,Tiff In Tech,568000,0.45880187,0.416,https://www.youtube.com/@tiffintech
3,"Format does not match: The titles ('Rise and Grind: Cozy Coffee', 'Lewis & Clark | Trailblazers of America') suggest educational content aimed at children, focusing on historical figures and basic economic concepts, rather than in-depth documentary-style analysis. Topic match: 0. The topics primarily revolve around basic economics and American history, which do not align with the seed's pillars of societal issues, political commentary, science, and cultural trends.",Vox,PragerU Kids,125000,0.45858306,0.352,https://www.youtube.com/@pragerukids
3,"Format does not match: The titles suggest a focus on reactive commentary and opinion pieces rather than documentary-style analysis. Topic match: 0. The topics primarily revolve around political commentary and personal motivation, which do not align with the seed's pillars of societal issues, political/economic commentary, science/technology, or cultural trends.",Vox,Motivation Core,433000,0.45729214,0.447,https://www.youtube.com/@m_core
3,"Format does not match: The titles suggest a focus on sensationalized news and body language analysis rather than documentary-style video essays. Topic match: 0. The topics primarily revolve around current events and personal commentary, which do not align with the seed's pillars of societal issues, political/economic commentary, science/technology, or cultural trends.",Vox,The Body Language Guy,918000,0.45488074,0.367,https://www.youtube.com/@thebodylanguageguy
3,"Format does not match: The titles suggest a focus on financial predictions and market commentary, which are more aligned with news and reactive content rather than documentary-style analysis. Topic match: 0. The topics primarily revolve around gold and silver prices, investment strategies, and economic warnings, which do not align with the seed's pillars of societal issues, political commentary, science, and cultural trends.",Vox,Business Upside,13100,0.45454183,0.43,https://www.youtube.com/@businessupside
3,"Format does not match: The titles suggest a focus on career development and medical science, which are more instructional and practical rather than analytical video essays. Topic match: 0. The topics do not align with the seed's pillars of societal issues, political/economic commentary, science/technology explained, or cultural trends.",Vox,MSL Talk,11500,0.4536426,0.373,https://www.youtube.com/@msltalk
3,"Format does not match: The titles suggest a focus on news and commentary rather than documentary-style analysis. The content is reactive and centered around specific events or personalities, which does not align with the documentary format of the seed channel. Topic match: 0. The titles primarily focus on political commentary and personal narratives, which do not align with the seed's pillars of societal issues, political/economic commentary, science/technology, or cultural trends.",Vox,Candace Owens,5510000,0.45000327,0.269,https://www.youtube.com/@realcandaceo
