Discovered_Channel_Name,Original_Tier,Original_LLM_Score,Original_Niche,is_competitor,confidence,reason
Dr. Tiffany Shelton,1,0.83,Productivity - Educational Tutorials,True,High,"Both channels focus on personal development and goal achievement, with similar educational tutorial formats aimed at helping viewers improve their productivity and life management skills."
Dr. Shadé Zahrai,1,0.84,Personal Development - Educational Tutorials,True,High,"Both channels focus on personal development and self-improvement, delivering educational content with similar intents and formats."
Ü STAMPS,2,0.73,Entrepreneurship - Educational Tutorials,False,High,"The Seed channel focuses on personal growth and self-improvement through educational tutorials, while the Candidate channel is centered on specific business scaling strategies, indicating a format mismatch and different niche focus."
SpoonFedStudy,2,0.76,Personal Development - Talking-Head Analysis,True,High,"Both channels focus on educational content aimed at personal growth and productivity, with similar formats and relevant topics."
Ruri Ohama,2,0.76,Productivity - Educational Tutorials,False,High,"The Seed channel focuses on general personal growth and entrepreneurial strategies, while the Candidate channel specifically targets ADHD-related productivity, indicating a niche mismatch despite some overlapping keywords."
Noah Kagan,2,0.73,Entrepreneurship - Educational Tutorials,True,High,"Both channels focus on educational content aimed at entrepreneurship and personal growth, with similar formats of tutorials and advice on starting and growing businesses."
Chris Tomshack,2,0.73,Productivity - Educational Tutorials,False,High,"The Seed channel focuses on personal growth and self-improvement, while the Candidate channel centers on productivity and tech, indicating a mismatch in both format and niche."
Foundr ,2,0.73,Entrepreneurship - Educational Tutorials,False,High,"The Seed channel focuses on personal growth and self-improvement through educational tutorials, while the Candidate channel is centered on entrepreneurship and business growth through interviews and actionable content, indicating a format and niche mismatch."
Leila Hormozi,2,0.76,Entrepreneurship - Educational Tutorials,True,High,"Both channels focus on educational content related to entrepreneurship and personal growth, with similar formats aimed at providing actionable business strategies and self-improvement techniques."
Mitch Manly,2,0.76,Self-Improvement - Educational Tutorials,True,High,"Both channels focus on personal growth and self-improvement, using an educational format to provide life advice and strategies for success."
Amy Wang,2,0.73,Personal Growth - Talking-Head Analysis,True,High,"Both channels focus on personal growth and self-improvement, using an educational format to provide life advice and strategies for young adults navigating their careers and personal lives."
Feel Real Good,2,0.76,Entrepreneurship - Educational Tutorials,True,High,"Both channels focus on personal growth and entrepreneurship, providing educational content aimed at helping viewers achieve their goals and build successful businesses."
Improvement Pill,2,0.73,Self-Improvement - Educational Tutorials,True,High,"Both channels focus on self-improvement and personal growth through educational content, with similar formats aimed at inspiring and motivating viewers."
Brendon Burchard,2,0.76,Personal Development - Podcast/Interviews,True,High,"Both channels focus on personal development and self-improvement, utilizing an educational format to deliver content on similar topics such as mindset, overcoming self-doubt, and achieving goals."
Passion Planner,2,0.76,Productivity - Educational Tutorials,False,High,"The Seed channel focuses on personal growth and entrepreneurial strategies through educational tutorials, while the Candidate channel emphasizes goal-setting and productivity through planner-related content, leading to a format mismatch and differing niche focus."
Amy Landino,1,0.85,Entrepreneurship - Educational Tutorials,True,High,"Both channels focus on educational content related to personal development and entrepreneurship, with similar formats aimed at teaching viewers how to improve their lives and businesses."
The Bliss Bean,1,0.83,Productivity - Educational Tutorials,False,High,"The Seed channel focuses on broader personal growth and entrepreneurial strategies, while the Candidate channel is specifically centered on productivity and study habits for college students, indicating a niche mismatch."
Mindvalley ,2,0.76,Personal Growth - Educational Tutorials,True,High,"Both channels focus on personal growth and self-improvement content, with similar educational formats aimed at helping viewers achieve their goals and enhance their lives."
Koi,1,0.83,Self-Reliance - Educational Tutorials,True,High,"Both channels focus on personal growth and self-improvement, utilizing an educational tutorial format to address similar topics like productivity and life transformation."
KeyPersonOfInfluence,2,0.76,Entrepreneurship - Educational Tutorials,False,High,"The Seed channel focuses on personal growth and entrepreneurship through educational tutorials, while the Candidate channel emphasizes personal branding and visibility in business, indicating a format mismatch and differing niche focus."
Carlino Denver,1,0.87,Productivity - Educational Tutorials,True,High,"Both channels focus on personal growth and self-improvement, with similar educational tutorial formats aimed at helping viewers achieve their goals and manage their time effectively."
Thomas Frank,1,0.87,Productivity - Educational Tutorials,True,High,"Both channels focus on personal growth and productivity, with similar educational tutorial formats aimed at helping viewers improve their lives and achieve their goals."
Nikko Montanez,2,0.73,Entrepreneurship - Educational Tutorials,True,High,"Both channels focus on educational content related to entrepreneurship and business growth strategies, with similar formats aimed at helping viewers succeed in their business endeavors."
Robin Sharma,1,0.83,Personal Development - Educational Tutorials,True,High,"Both channels focus on personal development and entrepreneurship, delivering educational content aimed at self-improvement and success strategies, which aligns closely in format and niche."
"simple, actually",1,0.83,Productivity - Educational Tutorials,False,Medium,"While both channels focus on personal development and self-improvement, the Seed channel emphasizes entrepreneurial and financial strategies, whereas the Candidate channel centers on simplifying productivity and motivation, indicating a niche mismatch despite a similar educational format."
Rise With Odn,2,0.73,Financial Education - Educational Tutorials,True,High,"Both channels focus on personal growth and financial success strategies, using an educational tutorial format to address similar topics related to self-improvement and wealth-building."
