Discovered_Channel_ID,Discovered_Channel_Name,Discovered_Channel_URL,Discovered_Subs,score_format_match,score_format_confidence,score_format_reason,score_similarity,Final_Tier,Final_Status,Tie_Breaker_Used,Tie_Breaker_Reason
UCdTSGF4VBDHVSxDRz796j7Q,Joe Polish,https://www.youtube.com/@joepolish,195000,True,0.95,"All three videos feature dialogues between hosts and guests, with clear conversational exchanges. Video 1 and Video 2 include phrases like 'Welcome back' and 'Guest', while Video 3 has a conversational format with a guest. Each video ends with a sign-off typical of podcasts, encouraging viewers to engage further with the content.",0.5189793109893799,2,Tier 2 (Niche Competitor),False,
UC7kjWIK1H8tfmFlzZO-wHMw,The TWIML AI Podcast with Sam Charrington,https://www.youtube.com/@twimlai,27200,True,1.0,"All three videos contain clear dialogue markers such as 'Welcome back', 'Episode', and 'Guest', indicating they are structured as podcasts. Each video features a conversation format with hosts and guests discussing various topics, and they conclude with sign-offs typical of podcast episodes. For example, in Video 1, the host says, 'Welcome back to the podcast' and thanks the guest at the end, which aligns with podcast content. Similar patterns are observed in Videos 2 and 3.",0.48816782236099243,3,Tier 3 (Format Match / Different Topic),False,
UCwwONWb7JPUMjmmQhnnLfLQ,Dave Lorenzo,https://www.youtube.com/@davelorenzo,19800,True,0.95,"All three videos feature dialogue markers such as 'Welcome back', 'Guest', and 'Episode'. They include conversations between hosts and guests, indicating a podcast format. The sign-offs at the end of each video also resemble typical podcast closures, reinforcing the podcast nature of the content.",0.4814509153366089,3,Tier 3 (Format Match / Different Topic),False,
UCP7jMXSY2xbc3KCAE0MHQ-A,Google DeepMind,https://www.youtube.com/@googledeepmind,684000,True,1.0,"All three videos strictly adhere to podcast format. They feature dialogue markers such as 'Welcome back', 'Guest', and 'Episode'. Each video includes a conversational structure in the middle, with clear exchanges between the host and guests. The endings also follow a typical podcast sign-off, encouraging listeners to subscribe and leave reviews, confirming their nature as podcast content.",0.45812439918518066,3,Tier 3 (Format Match / Different Topic),False,
UCYbJvTetIGsQgm2l_2iYSNw,The Brutal Truth about Sales Podcast - b2bREVENUE ,https://www.youtube.com/@briangburnsb2b,45300,True,0.95,"All three videos feature dialogues between hosts and guests, with clear conversational exchanges. Each video begins with a greeting and introduction, and ends with a sign-off that encourages viewers to connect with the guests, which aligns with podcast format markers. The presence of phrases like 'thanks for joining us today' and 'where can people go to connect' further supports this classification.",0.45603156089782715,3,Tier 3 (Format Match / Different Topic),False,
UCc11676iKpKrJMYqNYHqNig,Brian Tracy,https://www.youtube.com/@briantracyofficial,1860000,True,0.95,"All three videos feature a conversational format with clear dialogue markers such as 'Welcome everyone', 'Thank you', and 'Until next time', indicating a podcast structure. The content is centered around discussions with guests and co-hosts, fitting the podcast criteria. Each video ends with a sign-off typical of a podcast, reinforcing the format.",0.4508795142173767,3,Tier 3 (Format Match / Different Topic),False,
UCr_ZF6AG_9ZylHul1O5wHhg,Intentional Leader with Cal Walters,https://www.youtube.com/@intentionalleader_calwalters,12800,True,1.0,"All three videos contain clear dialogue markers such as 'Welcome back', 'Guest', and 'Episode'. They feature conversations between the host and guests, indicating a podcast format. Each video ends with a sign-off typical of a podcast, reinforcing that they are structured as episodes of a series.",0.4267330765724182,3,Tier 3 (Format Match / Different Topic),False,
UC4No3izdi6Mx8HowouUNzww,Untangling Web3,https://www.youtube.com/@untanglingweb3,200000,True,1.0,"All three videos contain clear dialogue markers such as 'Welcome back', 'Guest', and 'Episode'. They feature conversations between hosts and guests, indicating a podcast format. Each video ends with a sign-off typical of a podcast, inviting listeners to tune in next time and encouraging subscriptions.",0.41353991627693176,3,Tier 3 (Format Match / Different Topic),False,
UC43_LTf5Z4lbRjKCq0sIAVg,WiM Media (Robert Breedlove),https://www.youtube.com/@robertbreedlove22,231000,True,0.95,"All three videos feature dialogue markers such as 'w/' indicating guests, and they include conversational exchanges rather than monologues. Each video begins with a welcoming tone and ends with a sign-off typical of podcasts, such as encouraging viewers to subscribe and check out more episodes. The content is structured around discussions with guests, fitting the podcast format.",0.3588094115257263,3,Tier 3 (Format Match / Different Topic),False,
UCa6fbbob-4N9Nq2bZjhGm6Q,The Elev8 Podcast,https://www.youtube.com/@elev8podcast,148000,True,0.95,"All three videos contain clear dialogue markers such as 'Welcome back', 'Episode', and conversational exchanges indicating a podcast format. Each video features a host engaging in discussions, with sign-offs typical of podcasts, such as 'enjoy your day' and 'we love you, we're out'. The content is conversational rather than narrative or tutorial, aligning with podcast characteristics.",0.31581056118011475,3,Tier 3 (Format Match / Different Topic),False,
UCSHZKyawb77ixDdsGog4iWA,Lex Fridman,https://www.youtube.com/@lexfridman,4870000,True,1.0,"All three videos strictly follow the podcast format. They feature dialogues with guests, use phrases like 'Thank you for listening to this conversation with...' at the end, and include conversational elements throughout. Each video begins with a clear introduction of the guest and ends with a sign-off typical of podcasts, confirming they are indeed podcast content.",0.299720823764801,3,Tier 3 (Format Match / Different Topic),False,
UCxvqGPKYG32qHILq-c7w3uw,The D-Con Chamber,https://www.youtube.com/@thedconchamber,40800,True,1.0,"All three videos contain clear dialogue markers such as 'Welcome back', 'Guest', and 'Episode'. They feature conversations between hosts and guests, indicating a podcast format. Each video ends with a sign-off typical of a show, reinforcing that they are structured as podcasts.",0.26141729950904846,3,Tier 3 (Format Match / Different Topic),False,
UCbk_QsfaFZG6PdQeCvaYXJQ,Jay Shetty Podcast,https://www.youtube.com/@jayshettypodcast.,4990000,True,0.95,"All three videos contain clear dialogue markers such as 'Welcome back', and they feature conversations between hosts and guests, indicating a podcast format. The middle sections of the transcripts show interactive discussions, and the endings include sign-offs typical of podcast episodes, such as promoting other episodes and encouraging sharing. This aligns with the client's requirement for 'Podcast' content.",0.25972044467926025,3,Tier 3 (Format Match / Different Topic),False,
UClYIRsMyLf0G0ESkZw7z88w,Newbie Star Trek,https://www.youtube.com/@newbiestartrek,73200,True,0.95,"All three videos feature conversational dialogue with clear markers of a podcast format, such as 'Welcome back', discussions about episodes, and sign-offs typical of a show. The content is structured around discussions of specific Star Trek episodes, indicating a podcast format rather than documentary or tutorial.",0.18925099074840546,3,Tier 3 (Format Match / Different Topic),False,
UCinyEr-Fly9Yp1zMFx_D0cQ,Anik Singal,https://www.youtube.com/@aniksingal,511000,False,0.2,"The videos primarily feature monologues and tutorials rather than conversations typical of podcasts. Video 1 is instructional about AI content creation, Video 2 is an interview but lacks a structured podcast format, and Video 3 is a motivational speech with no dialogue markers or guest interactions.",0.6752915978431702,4,Tier 4 (Confirmed Mismatch),True,"While Anik Singal's content focuses on entrepreneurship and marketing, the format of the videos does not align closely enough with typical competitor formats, particularly due to the initial format check failure. The content style and presentation may differ significantly from established competitors in the same niche."
UCLtTf_uKt0Itd0NG7txrwXA,The Knowledge Project Podcast,https://www.youtube.com/@tkppodcast,364000,False,0.8,"While all three videos feature interviews with guests and end with sign-offs typical of podcasts, the content primarily focuses on individual narratives and insights rather than a conversational format. Video 1 and Video 2 contain elements of a monologue and do not consistently use dialogue markers. Video 3, while more conversational, still leans towards a narrative style rather than a strict podcast format.",0.6713108420372009,4,Tier 4 (Confirmed Mismatch),True,"The Knowledge Project Podcast primarily focuses on in-depth discussions and interviews with thought leaders, while the format of the provided videos appears to be more structured and possibly more visual or presentation-oriented, which does not align closely enough with the podcast format."
UCVeuau7DLrg7zlAjxxDbdww,HubSpot Marketing,https://www.youtube.com/@hubspotmarketing,566000,False,0.0,"All three videos are tutorials focused on teaching specific skills or strategies related to business and marketing. They contain no dialogue markers typical of podcasts, such as 'Welcome back', 'Guest', or 'Episode'. The content is instructional rather than conversational, and they do not sign off like a show, indicating they do not fit the podcast format.",0.6601278781890869,4,Tier 4 (Confirmed Mismatch),True,"While the topics discussed in the videos are relevant to marketing and AI, the format of the content does not align closely enough with typical HubSpot Marketing content, which often includes structured tutorials, case studies, and in-depth analyses. The informal and narrative-driven style of the videos suggests a different approach that may not compete directly with HubSpot's established format."
UCE-1Z0g4MmzyRMPdaQewwBA,Bgo,https://www.youtube.com/@bgoofficial,38000,False,0.0,"The videos do not strictly produce 'Podcast' content. They are primarily tutorial-style videos focused on providing information and guidance to software engineers, lacking the dialogue markers typical of podcasts. There are no conversations or guest interactions, and the sign-offs do not resemble a podcast format. Instead, they conclude with calls to action and promotional content.",0.6362820267677307,4,Tier 4 (Confirmed Mismatch),True,"While the topic similarity is high, the initial format check was failed, indicating that the channel's presentation style or structure does not align with the expected competitor format."
UC3bLxUg5G7D8ImDI9V_f2qg,Founder-Led Revenue Growth,https://www.youtube.com/@founderledrevenuegrowth,241000,False,0.9,"The videos do not contain the necessary dialogue markers or conversational structure typical of podcasts. They are primarily instructional and focused on delivering information in a tutorial format, lacking elements like 'Welcome back', 'Guest', or 'Episode'. The content is more aligned with tutorials on sales strategies rather than podcast discussions.",0.6249948143959045,4,Tier 4 (Confirmed Mismatch),True,"While the topic of 'Founder-Led Revenue Growth' has high relevance to B2B sales and lead generation, the format of the videos provided does not align closely enough with typical content formats for this channel. The first video focuses on a specific lead generation strategy, while the second addresses handling objections in sales. The content appears more instructional and less focused on founder-led growth narratives, which may not resonate with the intended audience of the channel."
UCPjNBjflYl0-HQtUvOx0Ibw,Greg Isenberg,https://www.youtube.com/@gregisenberg,501000,False,0.7,"While Video 1 contains dialogue markers and a conversational format typical of podcasts, Video 2 is more of a tutorial with structured lessons and lacks the podcast sign-off. Video 3 has no transcript provided, making it impossible to analyze. Overall, the channel does not strictly produce podcast content.",0.6047449111938477,4,Tier 4 (Confirmed Mismatch),True,"The channel's format does not align closely enough with typical competitor formats, as it focuses on personal anecdotes and lessons learned rather than structured educational content or tutorials that are common in the startup and tech space."
UCcefcZRL2oaA_uBNeo5UOWg,Y Combinator,https://www.youtube.com/@ycombinator,2060000,False,0.0,"Video 1 contains podcast elements such as dialogue markers, a guest, and a sign-off, indicating it is a podcast. However, Video 2 and Video 3 do not follow the podcast format; Video 2 is more of a documentary style discussing a startup's innovation, and Video 3 is a tutorial on hiring practices. Therefore, the channel does not strictly produce 'Podcast' content.",0.593920111656189,4,Tier 4 (Irrelevant),False,
UCA-mWX9CvCTVFWRMb9bKc9w,Dan Martell,https://www.youtube.com/@danmartell,2150000,False,0.9,"The videos primarily focus on instructional content related to business strategies and personal development rather than podcast-style dialogue. There are no dialogue markers (>>), 'Welcome back', 'Guest', or 'Episode' present. The content is structured more like tutorials or motivational speeches, lacking the conversational format typical of podcasts.",0.5807816386222839,4,Tier 4 (Irrelevant),False,
UC3M0vCYuGAEDy7SX1cWSqLw,Tech Sales With Higher Levels,https://www.youtube.com/@techsales-higherlevels,35400,False,0.2,"The videos primarily feature monologues and instructional content rather than a conversational format typical of podcasts. Video 1 is a lecture, Video 2 is an interview but lacks the podcast structure, and Video 3 is more of a tutorial discussing common mistakes in SDR organizations. None of the videos include clear dialogue markers or sign-offs characteristic of podcasts.",0.5525913238525391,4,Tier 4 (Irrelevant),False,
UCUyDOdBWhC1MCxEjC46d-zw,Alex Hormozi,https://www.youtube.com/@alexhormozi,3780000,False,0.8,"The videos primarily feature monologues rather than conversations, lacking dialogue markers typical of podcasts. Video 1 and Video 2 present a single speaker sharing insights without guest interactions or episode sign-offs. Video 3, while somewhat conversational, focuses on instructional content rather than a podcast format. None of the videos exhibit the characteristics of a traditional podcast.",0.5491074323654175,4,Tier 4 (Irrelevant),False,
UChhw6DlKKTQ9mYSpTfXUYqA,Starter Story,https://www.youtube.com/@starterstory,712000,False,0.2,"The videos primarily feature interviews and discussions about app development and entrepreneurship rather than traditional podcast elements. While there are conversational elements, the content is more focused on storytelling and tutorials rather than a structured podcast format with clear dialogue markers, sign-offs, or episodic structure.",0.5280465483665466,4,Tier 4 (Irrelevant),False,
UCM1guA1E-RHLO2OyfQPOkEQ,Stripe,https://www.youtube.com/@stripe,78600,False,0.0,"None of the videos strictly produce 'Podcast' content. Video 1 appears to be more of a promotional or informational piece about a childcare management software, lacking dialogue markers and a conversational format. Video 2 features a discussion but lacks clear podcast markers like 'Welcome back' or 'Episode', and it feels more like a panel discussion or interview. Video 3, while it has conversational elements, also lacks the specific podcast markers and feels more like a business interview rather than a structured podcast format.",0.5072048306465149,4,Tier 4 (Irrelevant),False,
UCJ3oB3ghEUdGhHnXZD4Dx3g,Digital Transformation with Eric Kimberling,https://www.youtube.com/@erickimberling,359000,False,0.2,"The videos primarily feature monologues rather than conversations, lack dialogue markers typical of podcasts, and do not sign off like a show. Video 1 mentions it will be edited into a podcast, but the content itself is not structured as a podcast. Videos 2 and 3 are more informative presentations rather than podcast discussions.",0.5025098323822021,4,Tier 4 (Irrelevant),False,
UCjm_qVkCPjOVDz9BWjNqO9A,Exponent,https://www.youtube.com/@tryexponent,458000,False,0.0,"None of the videos strictly produce 'Podcast' content. Video 1 and Video 2 are tutorial-style discussions about coding interviews and processes, lacking dialogue markers and sign-offs typical of podcasts. Video 3 is a mock interview format, which includes a conversation but does not follow the typical podcast structure with clear episode markers or a sign-off.",0.49705132842063904,4,Tier 4 (Irrelevant),False,
UCSRQ9pHE6CFqEib7rMmvgNw,Business Motiversity,https://www.youtube.com/@businessmotiversity,419000,False,0.2,"The videos primarily feature monologues and motivational speeches rather than dialogues typical of podcasts. Video 1 and Video 2 contain some conversational elements, but they lack clear dialogue markers and do not follow a podcast format. Video 3 is more of a motivational speech with no dialogue structure, indicating it is not podcast content.",0.4918324947357178,4,Tier 4 (Irrelevant),False,
UCGq-a57w-aPwyi3pW7XLiHw,The Diary Of A CEO,https://www.youtube.com/@thediaryofaceo,13600000,False,0.2,"The videos primarily feature monologues and discussions that lack clear dialogue markers typical of podcasts. Video 1 and Video 2 include some conversational elements, but they do not consistently follow the podcast format with clear sign-offs or guest interactions. Video 3 is more instructional and lacks the conversational flow characteristic of podcasts.",0.48424938321113586,4,Tier 4 (Irrelevant),False,
UCKelCK4ZaO6HeEI1KQjqzWA,The AI Daily Brief: Artificial Intelligence News,https://www.youtube.com/@aidailybrief,389000,False,0.0,"The videos primarily feature monologues discussing AI news and updates rather than conversations typical of podcasts. They lack dialogue markers, guest interactions, and do not sign off like a traditional podcast show. Instead, they resemble news commentary or informational segments.",0.4804115295410156,4,Tier 4 (Irrelevant),False,
UCQ-rrUCsJLNjFdPtKq0YOfA,Founders Podcast,https://www.youtube.com/@founderspodcast1,92400,False,0.9,"While all three videos feature a conversational style and include mentions of a new podcast called 'David Center', they primarily focus on discussing books and ideas related to business figures rather than engaging in a traditional podcast format with guest interviews or episodic content. The content leans more towards monologues and summaries rather than dialogues typical of podcasts.",0.4725492596626282,4,Tier 4 (Irrelevant),False,
UCGwuxdEeCf0TIA2RbPOj-8g,Stanford Graduate School of Business,https://www.youtube.com/@stanfordgsb,2660000,False,0.7,"Videos 1 and 2 feature panel discussions and presentations rather than a conversational format typical of podcasts. They lack dialogue markers and do not sign off like a show. Video 3, however, does follow a podcast format with dialogue markers, a clear introduction, and a sign-off, indicating it is a podcast. Overall, the channel does not strictly produce podcast content.",0.4712149202823639,4,Tier 4 (Irrelevant),False,
UCIP99i3azLdyYRxnUkSLJ7g,Andy Elliott,https://www.youtube.com/@andyelliottofficial,996000,False,0.9,"The analyzed videos do not strictly produce 'Podcast' content. Video 1 and Video 2 are primarily motivational speeches or tutorials focused on sales techniques and personal development, lacking dialogue markers and a conversational format typical of podcasts. Video 3 also follows a similar motivational style without the necessary podcast elements like 'Welcome back', 'Guest', or 'Episode'. The content is more aligned with motivational speaking rather than a structured podcast format.",0.46502041816711426,4,Tier 4 (Irrelevant),False,
UCk3u_P1wYZbbQkzj_OP0_wg,Indeed,https://www.youtube.com/@indeed,989000,False,0.0,"The analyzed videos do not strictly produce 'Podcast' content. Video 1 is a tutorial on writing cover letters, Video 2 features a conversation with a career coach but lacks formal podcast markers like 'Episode' or 'Guest', and Video 3 is a documentary-style presentation about a physician assistant's daily life, focusing on narrative flow rather than dialogue typical of podcasts.",0.45118647813796997,4,Tier 4 (Irrelevant),False,
UCWo4IA01TXzBeGJJKWHOG9g,Harvard Business Review,https://www.youtube.com/@harvardbusinessreview,1480000,False,0.8,"The content in the videos does not strictly adhere to the podcast format. Video 1 features a monologue with no clear dialogue markers or guest interactions, while Video 2 and Video 3 include conversational elements but lack a formal sign-off typical of podcasts. Video 2 has a discussion format but does not use explicit podcast markers like 'Episode' or 'Welcome back'. Video 3, while conversational, is more of an interview format without the typical podcast structure.",0.4238142967224121,4,Tier 4 (Irrelevant),False,
UCbaQv8_DS1n8puOnJRzLPzw,Myron Golden,https://www.youtube.com/@myrongolden,1240000,False,0.0,"The analyzed videos do not strictly produce 'Podcast' content. Video 1 is a monologue without dialogue markers or guest interactions. Video 2 features a conversation but lacks typical podcast sign-offs and is more of an interview format. Video 3 is also a monologue with no dialogue markers or guest interactions, and it concludes without a podcast-style sign-off.",0.4072505235671997,4,Tier 4 (Irrelevant),False,
UCIJI3d_oQvKMdNbwBi3OFXA,Hacking the Case Interview,https://www.youtube.com/@hackingthecaseinterview,58800,False,0.0,"The videos focus on providing strategies and tips for consulting interviews, which aligns more with tutorial content. They lack dialogue markers, guest interactions, and do not sign off like a show, indicating they do not strictly produce 'Podcast' content.",0.39051318168640137,4,Tier 4 (Irrelevant),False,
UCrtPXCqjm9c7nqgJL-vBSZg,CareerVidz,https://www.youtube.com/@careervidz,5130000,False,0.0,"None of the videos strictly produce 'Podcast' content. Video 1 is a tutorial on job interview tips, Video 2 discusses recommended books in a tutorial format, and Video 3 is a tutorial on preparing for learning and development interviews. They lack dialogue markers, guest interactions, and do not sign off like a show.",0.3658442795276642,4,Tier 4 (Irrelevant),False,
UCJugC7hlL5uNoii46ICyUvw,Interesting Times with Ross Douthat,https://www.youtube.com/@interestingtimesnyt,78700,False,0.2,"The videos primarily feature discussions and interviews rather than a structured podcast format. While there are elements of dialogue, such as guest introductions and conversational exchanges, the content leans more towards commentary and analysis rather than a traditional podcast format with clear episode structures and sign-offs. For example, Video 1 has a conversational tone but lacks explicit podcast markers like 'Welcome back' or 'Episode'. Video 2 and Video 3 also feature interviews but do not follow a typical podcast format with clear sign-offs or structured segments.",0.3572103977203369,4,Tier 4 (Irrelevant),False,
UCAPByrKU5-R1emswVlyH_-g,Motiversity,https://www.youtube.com/@motiversity,4040000,False,0.0,"The analyzed videos do not contain the necessary dialogue markers or structure typical of podcasts. They feature motivational speeches rather than conversations or interviews, lacking elements like 'Welcome back', 'Guest', or 'Episode'. The content is primarily monologues with no sign-off typical of a podcast format.",0.3553231358528137,4,Tier 4 (Irrelevant),False,
UCHetsKn3hHUg4J48onIKQZQ,Sidd Ahmed,https://www.youtube.com/@siddahmed,657000,False,0.2,"The videos primarily feature informal conversations and interviews rather than structured podcast content. Video 1 and Video 2 contain dialogues but lack clear podcast markers like 'Welcome back', 'Guest', or 'Episode'. Video 3 starts with a greeting but transitions into a more narrative style discussing business insights, which aligns more with a talk or seminar format than a podcast.",0.3474773168563843,4,Tier 4 (Irrelevant),False,
UCxCcu9pet4dljrBLf8R5nwA,Leila Hormozi,https://www.youtube.com/@leilahormozi,1140000,False,0.0,"None of the videos strictly adhere to podcast content. Video 1 and Video 3 are primarily monologues without dialogue markers or conversational elements, while Video 2, although it has some conversational tone, lacks clear podcast markers like 'Guest' or 'Episode' and does not sign off like a show.",0.3392471373081207,4,Tier 4 (Irrelevant),False,
